Company,Symbol,companyLow,charLength,companyFinal
MKS Instruments ,MKSI,mks instruments ,2,mks instruments
MMA Capital Management LLC,MMAC,mma capital management llc,4,mma capital management
MModal ,MODL,mmodal ,1,mmodal
MOCON ,MOCO,mocon ,1,mocon
MRV Communications ,MRVC,mrv communications ,2,mrv communications
MSB Financial Corp.,MSBF,msb financial corp.,3,msb financial corp.
MTGE Investment Corp,MTGE,mtge investment corp,3,mtge investment corp
MTGE Investment Corp.  8.125% Series A Cumulative Redeemable Preferred Stock,MTGEP,mtge investment corp.  8.125% series a cumulative redeemable preferred stock,10,mtge investment corp.
MTR Gaming Group  (Inactive),MNTG,mtr gaming group  (inactive),4,mtr gaming group
MTS Systems Corporation,MTSC,mts systems corporation,3,mts systems corporation
MWI Veterinary Supply ,MWIV,mwi veterinary supply ,3,mwi veterinary supply
MYOS RENS Technology ,MYOS,myos rens technology ,3,myos rens technology
MYR Group ,MYRG,myr group ,2,myr group
MabVax Therapeutics Holdings ,MBVX,mabvax therapeutics holdings ,3,mabvax therapeutics holdings
Macatawa Bank Corporation,MCBC,macatawa bank corporation,3,macatawa bank corporation
Mackinac Financial Corporation,MFNC,mackinac financial corporation,3,mackinac financial corporation
MacroGenics ,MGNX,macrogenics ,1,macrogenics
Macrocure ,MCUR,macrocure ,1,macrocure
Madrigal Pharmaceuticals ,MDGL,madrigal pharmaceuticals ,2,madrigal pharmaceuticals
Magal Security Systems . (USA),MAGS,magal security systems . (usa),5,magal security systems
Magellan Health ,MGLN,magellan health ,2,magellan health
Magic Software Enterprises ,MGIC,magic software enterprises ,3,magic software enterprises
Magma Design Automation LLC,LAVA,magma design automation llc,4,magma design automation
MagneGas Corporation,MNGA,magnegas corporation,2,magnegas corporation
Magyar Bancorp ,MGYR,magyar bancorp ,2,magyar bancorp
Maiden Holdings .,MHLD,maiden holdings .,3,maiden holdings .
Maiden Holdings .  7.25% Mandatory Convertible Preference Shares Series B,MHLDO,maiden holdings .  7.25% mandatory convertible preference shares series b,10,maiden holdings .
MainSource Financial Group ,MSFG,mainsource financial group ,3,mainsource financial group
MakeMusic ,MMUS,makemusic ,1,makemusic
MakeMyTrip Limited,MMYT,makemytrip limited,2,makemytrip limited
Malibu Boats ,MBUU,malibu boats ,2,malibu boats
Malvern Bancorp ,MLVF,malvern bancorp ,2,malvern bancorp
Mammoth Energy Services ,TUSK,mammoth energy services ,3,mammoth energy services
Manhattan Associates ,MANH,manhattan associates ,2,manhattan associates
Manhattan Bridge Capital ,LOAN,manhattan bridge capital ,3,manhattan bridge capital
Manitex International ,MNTX,manitex international ,2,manitex international
MannKind Corporation,MNKD,mannkind corporation,2,mannkind corporation
Mannatech ,MTEX,mannatech ,1,mannatech
Mantech International Corp,MANT,mantech international corp,3,mantech international corp
Mapi Pharma ,MAPI,mapi pharma ,2,mapi pharma
Marathon Patent Group ,MARA,marathon patent group ,3,marathon patent group
Marchex ,MCHX,marchex ,1,marchex
Marine Petroleum Trust,MARPS,marine petroleum trust,3,marine petroleum trust
Marinus Pharmaceuticals ,MRNS,marinus pharmaceuticals ,2,marinus pharmaceuticals
Market Leader  (Inactive),LEDR,market leader  (inactive),3,market leader
MarketAxess Holdings ,MKTX,marketaxess holdings ,2,marketaxess holdings
Marketo ,MKTO,marketo ,1,marketo
Marlin Business Services Corp.,MRLN,marlin business services corp.,4,marlin business services
Marriott International ,MAR,marriott international ,2,marriott international
Marrone Bio Innovations ,MBII,marrone bio innovations ,3,marrone bio innovations
Marten Transport ,MRTN,marten transport ,2,marten transport
Martin Midstream Partners L.P.,MMLP,martin midstream partners l.p.,4,martin midstream partners
Marvell Technology Group .,MRVL,marvell technology group .,4,marvell technology group
Masimo Corporation,MASI,masimo corporation,2,masimo corporation
Match Group ,MTCH,match group ,2,match group
